"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"ASTR-100Lxg","The Universe","","4.0 units","Lecture","50800R","001","12:00-1:50pm","Tue, Thu","128","0","0","Nicholas Warner","SLH200"
"","","","","Lecture","50800R","001","12:00-1:50pm","Tue, Thu","128","0","0","Nicholas Warner","SLH200"
"","","","","Lab","50802R","001","10:00-11:50am","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50802R","001","10:00-11:50am","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50803R","001","10:00-11:50am","Thursday","16","0","0","","SGM313"
"","","","","Lab","50803R","001","10:00-11:50am","Thursday","16","0","0","","SGM313"
"","","","","Lab","50804R","001","12:00-1:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50804R","001","12:00-1:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50805R","001","2:00-3:50pm","Tuesday","16","0","0","","SGM313"
"","","","","Lab","50805R","001","2:00-3:50pm","Tuesday","16","0","0","","SGM313"
"","","","","Lab","50806R","001","2:00-3:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50806R","001","2:00-3:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50807R","001","2:00-3:50pm","Thursday","16","0","0","","SGM313"
"","","","","Lab","50807R","001","2:00-3:50pm","Thursday","16","0","0","","SGM313"
"","","","","Lab","50808R","001","4:00-5:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50808R","001","4:00-5:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50809R","001","4:00-5:50pm","Thursday","16","0","0","","SGM313"
"","","","","Lab","50809R","001","4:00-5:50pm","Thursday","16","0","0","","SGM313"
"","","","","Quiz","50801R","001","5:00-6:20pm","Tuesday","128","0","0","","TBA"
"","","","","Quiz","50801R","001","5:00-6:20pm","Tuesday","128","0","0","","TBA"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","128","0","0","Edward Rhodes","SLH200"
"","","","","Lecture","50810R","001","2:00-3:20pm","MWF","128","0","0","Edward Rhodes","SLH200"
"","","","","Lab","50812R","001","10:00-11:50am","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50812R","001","10:00-11:50am","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Thursday","16","0","0","","SGM313"
"","","","","Lab","50813R","001","10:00-11:50am","Thursday","16","0","0","","SGM313"
"","","","","Lab","50814R","001","12:00-1:50pm","Wednesday","16","0","0","","SGM313"
"","","","","Lab","50814R","001","12:00-1:50pm","Wednesday","16","0","0","","SGM313"
